200,5,0.6,0.1,1371,1371.0
200,5,0.6,0.14,1407,1407.0
200,5,0.7,0.02,1320,1320.0
200,5,0.7,0.06,1361,1361.0
200,5,0.7,0.1,1265,1265.0
200,5,0.7,0.14,1229,1229.0
200,5,0.8,0.02,1477,1477.0
200,5,0.8,0.06,1497,1497.0
200,5,0.8,0.1,1385,1385.0
200,5,0.8,0.14,1325,1325.0
200,5,0.9,0.02,1539,1539.0
200,5,0.9,0.06,1424,1424.0
200,5,0.9,0.1,1343,1343.0
200,5,0.9,0.14,1407,1407.0
400,2,0.6,0.02,1481,1481.0
400,2,0.6,0.06,1318,1318.0
400,2,0.6,0.1,1349,1349.0
400,2,0.6,0.14,1261,1261.0
400,2,0.7,0.02,1406,1406.0
400,2,0.7,0.06,1349,1349.0
400,2,0.7,0.1,1319,1319.0
400,2,0.7,0.14,1295,1295.0
400,2,0.8,0.02,1290,1290.0
400,2,0.8,0.06,1280,1280.0
400,2,0.8,0.1,1459,1459.0
400,2,0.8,0.14,1352,1352.0
400,2,0.9,0.02,1494,1494.0
400,2,0.9,0.06,1453,1453.0
400,2,0.9,0.1,1356,1356.0
400,2,0.9,0.14,1390,1390.0
400,3,0.6,0.02,1380,1380.0
400,3,0.6,0.06,1335,1335.0
400,3,0.6,0.1,1378,1378.0
400,3,0.6,0.14,1420,1420.0
400,3,0.7,0.02,1380,1380.0
400,3,0.7,0.06,1396,1396.0
400,3,0.7,0.1,1292,1292.0
400,3,0.7,0.14,1313,1313.0
400,3,0.8,0.02,1321,1321.0
400,3,0.8,0.06,1562,1562.0
400,3,0.8,0.1,1265,1265.0
400,3,0.8,0.14,1309,1309.0
400,3,0.9,0.02,1519,1519.0
400,3,0.9,0.06,1368,1368.0
400,3,0.9,0.1,1363,1363.0
400,3,0.9,0.14,1246,1246.0
400,4,0.6,0.02,1374,1374.0
400,4,0.6,0.06,1301,1301.0
400,4,0.6,0.1,1313,1313.0
400,4,0.6,0.14,1354,1354.0
400,4,0.7,0.02,1348,1348.0
400,4,0.7,0.06,1424,1424.0
400,4,0.7,0.1,1324,1324.0
400,4,0.7,0.14,1322,1322.0
400,4,0.8,0.02,1385,1385.0
400,4,0.8,0.06,1303,1303.0
400,4,0.8,0.1,1259,1259.0
400,4,0.8,0.14,1242,1242.0
400,4,0.9,0.02,1363,1363.0
400,4,0.9,0.06,1374,1374.0
400,4,0.9,0.1,1305,1305.0
400,4,0.9,0.14,1352,1352.0
400,5,0.6,0.02,1429,1429.0
400,5,0.6,0.06,1316,1316.0
400,5,0.6,0.1,1260,1260.0
400,5,0.6,0.14,1209,1209.0
400,5,0.7,0.02,1332,1332.0
400,5,0.7,0.06,1288,1288.0
400,5,0.7,0.1,1362,1362.0
400,5,0.7,0.14,1549,1549.0
400,5,0.8,0.02,1294,1294.0
400,5,0.8,0.06,1333,1333.0
400,5,0.8,0.1,1286,1286.0
400,5,0.8,0.14,1293,1293.0
400,5,0.9,0.02,1286,1286.0
400,5,0.9,0.06,1341,1341.0
400,5,0.9,0.1,1366,1366.0
400,5,0.9,0.14,1239,1239.0
600,2,0.6,0.02,1448,1448.0
600,2,0.6,0.06,1325,1325.0
600,2,0.6,0.1,1273,1273.0
600,2,0.6,0.14,1367,1367.0
600,2,0.7,0.02,1396,1396.0
600,2,0.7,0.06,1233,1233.0
600,2,0.7,0.1,1301,1301.0
600,2,0.7,0.14,1130,1130.0
600,2,0.8,0.02,1424,1424.0
600,2,0.8,0.06,1298,1298.0
600,2,0.8,0.1,1215,1215.0
600,2,0.8,0.14,1361,1361.0
